"","control","treatment1","treatment2","treatment3","treatment4","sampled_numbers","repeat.","diff","label"
"51",2.33333333333333,2.33333333333333,3.33333333333333,2.33333333333333,2,15,100,1.33333333333333,"blocked"
"52",3.66666666666667,3.33333333333333,3,3.33333333333333,3,15,100,0.666666666666667,"blocked"
"53",3.66666666666667,2.66666666666667,3.33333333333333,3.66666666666667,2.66666666666667,15,100,1,"blocked"
"54",2.33333333333333,2,3.33333333333333,2,3,15,100,1.33333333333333,"blocked"
"55",2.66666666666667,2.33333333333333,3.66666666666667,2.33333333333333,4,15,100,1.66666666666667,"blocked"
"56",3.33333333333333,2.66666666666667,2.66666666666667,2.33333333333333,2.66666666666667,15,100,1,"blocked"
"57",2.66666666666667,3,3.66666666666667,2.33333333333333,3.66666666666667,15,100,1.33333333333333,"blocked"
"58",2.66666666666667,2.66666666666667,3,3,2,15,100,1,"blocked"
"59",2.66666666666667,3.33333333333333,3,3.33333333333333,3.33333333333333,15,100,0.666666666666667,"blocked"
"60",3.33333333333333,3,2.66666666666667,3.66666666666667,2.33333333333333,15,100,1.33333333333333,"blocked"
"61",3,3,3,3.66666666666667,4,15,100,1,"blocked"
"62",3.66666666666667,3.66666666666667,3.33333333333333,2,2.66666666666667,15,100,1.66666666666667,"blocked"
"63",3.33333333333333,3,3.33333333333333,3,3.33333333333333,15,100,0.333333333333333,"blocked"
"64",2,2.33333333333333,2.66666666666667,3,3,15,100,1,"blocked"
"65",2.66666666666667,2.66666666666667,2.66666666666667,3.66666666666667,3,15,100,1,"blocked"
"66",2.66666666666667,3.33333333333333,2.66666666666667,4,2.66666666666667,15,100,1.33333333333333,"blocked"
"67",2.66666666666667,2.33333333333333,3.66666666666667,2.66666666666667,3.33333333333333,15,100,1.33333333333333,"blocked"
"68",2.66666666666667,2.33333333333333,2.66666666666667,2.33333333333333,3,15,100,0.666666666666667,"blocked"
"69",3,2.66666666666667,3,2,3.66666666666667,15,100,1.66666666666667,"blocked"
"70",3.33333333333333,3.33333333333333,2.66666666666667,2.33333333333333,3,15,100,1,"blocked"
"71",3.66666666666667,3,2.33333333333333,2.66666666666667,3,15,100,1.33333333333333,"blocked"
"72",3.66666666666667,3.66666666666667,3.66666666666667,3,3,15,100,0.666666666666667,"blocked"
"73",2.33333333333333,2.33333333333333,2.66666666666667,2.33333333333333,2.33333333333333,15,100,0.333333333333333,"blocked"
"74",4,3.33333333333333,3.33333333333333,4.33333333333333,3.66666666666667,15,100,1,"blocked"
"75",2,2.66666666666667,3,2.33333333333333,2.66666666666667,15,100,1,"blocked"
"76",3.33333333333333,2.33333333333333,3,4,2.33333333333333,15,100,1.66666666666667,"blocked"
"77",3,4.33333333333333,3.33333333333333,3,3,15,100,1.33333333333333,"blocked"
"78",2.33333333333333,2,2.33333333333333,2.66666666666667,2.66666666666667,15,100,0.666666666666667,"blocked"
