"","control","treatment","sampled_numbers","repeat.","diff","label"
"8676",2.98559077809798,2.98270893371758,694,100,0.00288184438040329,"blocked"
"8677",3.01729106628242,3.01729106628242,694,100,0,"blocked"
"8678",2.97982708933718,2.96541786743516,694,100,0.0144092219020173,"blocked"
"8679",2.98847262247839,2.97694524495677,694,100,0.0115273775216136,"blocked"
"8680",3.06916426512968,3.07204610951009,694,100,0.00288184438040373,"blocked"
"8681",3.07780979827089,3.06916426512968,694,100,0.0086455331412103,"blocked"
"8682",3.03458213256484,3.03458213256484,694,100,0,"blocked"
"8683",2.97406340057637,2.97406340057637,694,100,0,"blocked"
"8684",3.00864553314121,3.01152737752161,694,100,0.00288184438040373,"blocked"
"8685",2.94236311239193,2.93948126801153,694,100,0.00288184438040329,"blocked"
"8686",3.03458213256484,3.03170028818444,694,100,0.00288184438040373,"blocked"
"8687",3.11527377521614,3.10374639769452,694,100,0.0115273775216136,"blocked"
"8688",2.9164265129683,2.9164265129683,694,100,0,"blocked"
"8689",2.94812680115274,2.95677233429395,694,100,0.0086455331412103,"blocked"
"8690",3.03458213256484,3.03170028818444,694,100,0.00288184438040373,"blocked"
"8691",2.98847262247839,2.97406340057637,694,100,0.0144092219020169,"blocked"
"8692",2.9135446685879,2.9135446685879,694,100,0,"blocked"
"8693",3,2.99423631123919,694,100,0.00576368876080702,"blocked"
"8694",3.06628242074928,3.06051873198847,694,100,0.00576368876080702,"blocked"
"8695",2.96541786743516,2.95677233429395,694,100,0.0086455331412103,"blocked"
"8696",3.03170028818444,3.03746397694524,694,100,0.00576368876080702,"blocked"
"8697",3.02305475504323,3.00864553314121,694,100,0.0144092219020173,"blocked"
"8698",2.97982708933718,2.97694524495677,694,100,0.00288184438040329,"blocked"
"8699",2.93659942363112,2.93371757925072,694,100,0.00288184438040373,"blocked"
"8700",3.04899135446686,3.03746397694524,694,100,0.011527377521614,"blocked"
"8701",2.997150997151,2.99430199430199,702,100,0.00284900284900313,"blocked"
"8702",2.93732193732194,2.92307692307692,702,100,0.0142450142450143,"blocked"
"8703",3.05413105413105,3.05128205128205,702,100,0.00284900284900313,"blocked"
"8704",2.98005698005698,2.98005698005698,702,100,0,"blocked"
"8705",3.03133903133903,3.03418803418803,702,100,0.00284900284900269,"blocked"
"8706",3.02564102564103,3.02564102564103,702,100,0,"blocked"
"8707",2.94871794871795,2.94586894586895,702,100,0.00284900284900313,"blocked"
"8708",3.01994301994302,3.02279202279202,702,100,0.00284900284900313,"blocked"
"8709",3.00854700854701,3.00569800569801,702,100,0.00284900284900269,"blocked"
"8710",3.01709401709402,3.01424501424501,702,100,0.00284900284900269,"blocked"
"8711",2.96011396011396,2.95441595441595,702,100,0.00569800569800583,"blocked"
"8712",2.94301994301994,2.94301994301994,702,100,0,"blocked"
"8713",2.98290598290598,2.99430199430199,702,100,0.0113960113960112,"blocked"
"8714",2.97435897435897,2.98005698005698,702,100,0.00569800569800583,"blocked"
"8715",3.05982905982906,3.05982905982906,702,100,0,"blocked"
"8716",2.97150997150997,2.97150997150997,702,100,0,"blocked"
"8717",3.03703703703704,3.03418803418803,702,100,0.00284900284900313,"blocked"
"8718",3.002849002849,3.00569800569801,702,100,0.00284900284900313,"blocked"
"8719",2.997150997151,2.997150997151,702,100,0,"blocked"
"8720",2.97150997150997,2.96581196581197,702,100,0.00569800569800538,"blocked"
"8721",2.98575498575499,2.98005698005698,702,100,0.00569800569800538,"blocked"
"8722",2.95726495726496,2.96296296296296,702,100,0.00569800569800538,"blocked"
"8723",2.92877492877493,2.93447293447293,702,100,0.00569800569800583,"blocked"
"8724",3.09401709401709,3.0968660968661,702,100,0.00284900284900269,"blocked"
"8725",3.02279202279202,3.02849002849003,702,100,0.00569800569800583,"blocked"
"8726",2.98290598290598,2.98575498575499,702,100,0.00284900284900269,"blocked"
"8727",2.92022792022792,2.92592592592593,702,100,0.00569800569800583,"blocked"
"8728",2.92592592592593,2.91452991452991,702,100,0.0113960113960117,"blocked"
"8729",2.91168091168091,2.91452991452991,702,100,0.00284900284900269,"blocked"
"8730",3.04558404558405,3.04558404558405,702,100,0,"blocked"
"8731",3.03703703703704,3.03988603988604,702,100,0.00284900284900269,"blocked"
"8732",3.07407407407407,3.07407407407407,702,100,0,"blocked"
"8733",3.17378917378917,3.16809116809117,702,100,0.00569800569800583,"blocked"
"8734",2.95156695156695,2.95726495726496,702,100,0.00569800569800583,"blocked"
"8735",3.01709401709402,3.01709401709402,702,100,0,"blocked"
"8736",2.91737891737892,2.91452991452991,702,100,0.00284900284900313,"blocked"
"8737",2.98005698005698,2.98290598290598,702,100,0.00284900284900269,"blocked"
"8738",3.08262108262108,3.08262108262108,702,100,0,"blocked"
"8739",2.98005698005698,2.98005698005698,702,100,0,"blocked"
"8740",3.01424501424501,3.02564102564103,702,100,0.0113960113960112,"blocked"
"8741",2.89458689458689,2.8974358974359,702,100,0.00284900284900269,"blocked"
"8742",2.96296296296296,2.96866096866097,702,100,0.00569800569800583,"blocked"
"8743",2.997150997151,2.99430199430199,702,100,0.00284900284900313,"blocked"
"8744",3.04558404558405,3.03988603988604,702,100,0.00569800569800583,"blocked"
"8745",2.87464387464387,2.87749287749288,702,100,0.00284900284900313,"blocked"
"8746",2.93732193732194,2.93162393162393,702,100,0.00569800569800583,"blocked"
"8747",2.96296296296296,2.97150997150997,702,100,0.00854700854700852,"blocked"
"8748",2.98575498575499,2.99430199430199,702,100,0.00854700854700852,"blocked"
"8749",2.91737891737892,2.92022792022792,702,100,0.00284900284900269,"blocked"
"8750",2.94301994301994,2.94871794871795,702,100,0.00569800569800583,"blocked"
"8751",2.97435897435897,2.97720797720798,702,100,0.00284900284900269,"blocked"
"8752",2.99430199430199,2.98860398860399,702,100,0.00569800569800538,"blocked"
"8753",2.91737891737892,2.92592592592593,702,100,0.00854700854700852,"blocked"
"8754",2.93732193732194,2.93447293447293,702,100,0.00284900284900269,"blocked"
"8755",3.02564102564103,3.02279202279202,702,100,0.00284900284900269,"blocked"
"8756",3.002849002849,3.002849002849,702,100,0,"blocked"
"8757",2.92877492877493,2.92022792022792,702,100,0.00854700854700852,"blocked"
"8758",3.03418803418803,3.02849002849003,702,100,0.00569800569800538,"blocked"
"8759",3.03418803418803,3.03418803418803,702,100,0,"blocked"
"8760",2.97150997150997,2.96866096866097,702,100,0.00284900284900269,"blocked"
"8761",3.04273504273504,3.03703703703704,702,100,0.00569800569800538,"blocked"
"8762",3.02279202279202,3.02564102564103,702,100,0.00284900284900269,"blocked"
"8763",2.95441595441595,2.94586894586895,702,100,0.00854700854700852,"blocked"
"8764",2.93732193732194,2.94301994301994,702,100,0.00569800569800583,"blocked"
"8765",3.05413105413105,3.05982905982906,702,100,0.00569800569800538,"blocked"
"8766",2.94871794871795,2.95726495726496,702,100,0.00854700854700852,"blocked"
"8767",3,2.99430199430199,702,100,0.00569800569800583,"blocked"
"8768",3.00854700854701,3.00854700854701,702,100,0,"blocked"
"8769",3.07122507122507,3.06837606837607,702,100,0.00284900284900269,"blocked"
"8770",2.98575498575499,2.98575498575499,702,100,0,"blocked"
"8771",2.96866096866097,2.95726495726496,702,100,0.0113960113960112,"blocked"
"8772",3.01709401709402,3.02564102564103,702,100,0.00854700854700852,"blocked"
"8773",2.92307692307692,2.92307692307692,702,100,0,"blocked"
"8774",2.95441595441595,2.96011396011396,702,100,0.00569800569800583,"blocked"
"8775",3.002849002849,2.997150997151,702,100,0.00569800569800538,"blocked"
"8776",2.997150997151,3.002849002849,702,100,0.00569800569800538,"blocked"
"8777",3.00854700854701,3.00854700854701,702,100,0,"blocked"
"8778",2.96866096866097,2.95726495726496,702,100,0.0113960113960112,"blocked"
"8779",3.06837606837607,3.07122507122507,702,100,0.00284900284900269,"blocked"
"8780",3.06837606837607,3.06837606837607,702,100,0,"blocked"
"8781",3.01424501424501,3.02564102564103,702,100,0.0113960113960112,"blocked"
"8782",2.98290598290598,2.98860398860399,702,100,0.00569800569800583,"blocked"
"8783",3.02279202279202,3.02279202279202,702,100,0,"blocked"
"8784",2.92877492877493,2.92307692307692,702,100,0.00569800569800583,"blocked"
"8785",3.03703703703704,3.03418803418803,702,100,0.00284900284900313,"blocked"
"8786",3.11111111111111,3.11111111111111,702,100,0,"blocked"
"8787",2.92307692307692,2.91168091168091,702,100,0.0113960113960112,"blocked"
"8788",2.95441595441595,2.95441595441595,702,100,0,"blocked"
"8789",3.02279202279202,3.01994301994302,702,100,0.00284900284900313,"blocked"
"8790",2.99430199430199,2.98860398860399,702,100,0.00569800569800538,"blocked"
"8791",2.93162393162393,2.92592592592593,702,100,0.00569800569800538,"blocked"
"8792",3.002849002849,2.997150997151,702,100,0.00569800569800538,"blocked"
"8793",3.03988603988604,3.03133903133903,702,100,0.00854700854700852,"blocked"
"8794",2.997150997151,3.002849002849,702,100,0.00569800569800538,"blocked"
"8795",3.01424501424501,3.01994301994302,702,100,0.00569800569800538,"blocked"
"8796",3.00854700854701,3.00854700854701,702,100,0,"blocked"
"8797",2.98005698005698,2.97435897435897,702,100,0.00569800569800583,"blocked"
"8798",2.94871794871795,2.94301994301994,702,100,0.00569800569800583,"blocked"
"8799",3.03703703703704,3.03988603988604,702,100,0.00284900284900269,"blocked"
"8800",2.96581196581197,2.96581196581197,702,100,0,"blocked"
"8801",2.9887323943662,2.9943661971831,710,100,0.0056338028169014,"blocked"
"8802",2.93521126760563,2.94084507042254,710,100,0.0056338028169014,"blocked"
"8803",3.05633802816901,3.05915492957746,710,100,0.0028169014084507,"blocked"
"8804",2.99154929577465,2.9887323943662,710,100,0.0028169014084507,"blocked"
"8805",3.01408450704225,3.01971830985915,710,100,0.0056338028169014,"blocked"
"8806",3.02253521126761,3.02253521126761,710,100,0,"blocked"
"8807",2.93802816901408,2.92676056338028,710,100,0.0112676056338028,"blocked"
"8808",3.01971830985915,3.0169014084507,710,100,0.0028169014084507,"blocked"
"8809",3.01971830985915,3.00845070422535,710,100,0.0112676056338028,"blocked"
"8810",3.01971830985915,3.02253521126761,710,100,0.0028169014084507,"blocked"
"8811",2.94647887323944,2.94929577464789,710,100,0.0028169014084507,"blocked"
"8812",2.94084507042254,2.94647887323944,710,100,0.0056338028169014,"blocked"
"8813",2.98028169014085,2.97464788732394,710,100,0.0056338028169014,"blocked"
"8814",3.02816901408451,3.03661971830986,710,100,0.0084507042253521,"blocked"
"8815",3.03098591549296,3.02253521126761,710,100,0.0084507042253521,"blocked"
"8816",2.98591549295775,2.98591549295775,710,100,0,"blocked"
"8817",3.04788732394366,3.04788732394366,710,100,0,"blocked"
"8818",2.97183098591549,2.97183098591549,710,100,0,"blocked"
"8819",2.97746478873239,2.98028169014085,710,100,0.0028169014084507,"blocked"
"8820",3.0169014084507,3.01408450704225,710,100,0.0028169014084507,"blocked"
"8821",2.9830985915493,2.97746478873239,710,100,0.0056338028169014,"blocked"
"8822",2.95492957746479,2.95211267605634,710,100,0.0028169014084507,"blocked"
"8823",2.95211267605634,2.93802816901408,710,100,0.0140845070422535,"blocked"
"8824",3.08450704225352,3.07605633802817,710,100,0.0084507042253521,"blocked"
"8825",3.05070422535211,3.06197183098592,710,100,0.0112676056338028,"blocked"
"8826",2.95492957746479,2.94084507042254,710,100,0.0140845070422535,"blocked"
"8827",2.92112676056338,2.91549295774648,710,100,0.0056338028169014,"blocked"
"8828",2.88169014084507,2.88450704225352,710,100,0.0028169014084507,"blocked"
"8829",2.93802816901408,2.94366197183099,710,100,0.0056338028169014,"blocked"
"8830",3.08169014084507,3.08732394366197,710,100,0.0056338028169014,"blocked"
"8831",3.03943661971831,3.04225352112676,710,100,0.0028169014084507,"blocked"
"8832",3.12112676056338,3.11267605633803,710,100,0.0084507042253521,"blocked"
"8833",3.06197183098592,3.05070422535211,710,100,0.0112676056338028,"blocked"
"8834",3.01408450704225,3.01971830985915,710,100,0.0056338028169014,"blocked"
"8835",2.96056338028169,2.96901408450704,710,100,0.0084507042253521,"blocked"
"8836",2.96901408450704,2.96056338028169,710,100,0.0084507042253521,"blocked"
"8837",3,3.00281690140845,710,100,0.0028169014084507,"blocked"
"8838",3.07887323943662,3.07605633802817,710,100,0.0028169014084507,"blocked"
"8839",2.92676056338028,2.92676056338028,710,100,0,"blocked"
"8840",3,3.0056338028169,710,100,0.0056338028169014,"blocked"
"8841",2.94084507042254,2.94366197183099,710,100,0.0028169014084507,"blocked"
"8842",2.94929577464789,2.95211267605634,710,100,0.0028169014084507,"blocked"
"8843",3.02253521126761,3.03098591549296,710,100,0.0084507042253521,"blocked"
"8844",2.96619718309859,2.96619718309859,710,100,0,"blocked"
"8845",2.92676056338028,2.92394366197183,710,100,0.0028169014084507,"blocked"
"8846",2.93521126760563,2.94366197183099,710,100,0.0084507042253521,"blocked"
"8847",2.9943661971831,2.9943661971831,710,100,0,"blocked"
"8848",2.90422535211268,2.89859154929577,710,100,0.0056338028169014,"blocked"
"8849",2.93802816901408,2.92957746478873,710,100,0.0084507042253521,"blocked"
"8850",3.00845070422535,3.0112676056338,710,100,0.0028169014084507,"blocked"
"8851",2.93239436619718,2.92112676056338,710,100,0.0112676056338028,"blocked"
"8852",2.96619718309859,2.95211267605634,710,100,0.0140845070422535,"blocked"
"8853",2.91549295774648,2.90704225352113,710,100,0.0084507042253521,"blocked"
"8854",3.03943661971831,3.03380281690141,710,100,0.0056338028169014,"blocked"
"8855",3.00281690140845,2.99718309859155,710,100,0.0056338028169014,"blocked"
"8856",3,2.99718309859155,710,100,0.0028169014084507,"blocked"
"8857",2.92112676056338,2.91830985915493,710,100,0.0028169014084507,"blocked"
"8858",3.09295774647887,3.10422535211268,710,100,0.0112676056338028,"blocked"
"8859",3.00845070422535,3.01408450704225,710,100,0.0056338028169014,"blocked"
"8860",2.90985915492958,2.91830985915493,710,100,0.0084507042253521,"blocked"
"8861",3.09859154929577,3.09577464788732,710,100,0.0028169014084507,"blocked"
"8862",2.92676056338028,2.92957746478873,710,100,0.0028169014084507,"blocked"
"8863",2.9943661971831,3,710,100,0.0056338028169014,"blocked"
"8864",3.02816901408451,3.03661971830986,710,100,0.0084507042253521,"blocked"
"8865",2.9943661971831,2.9887323943662,710,100,0.0056338028169014,"blocked"
"8866",2.94647887323944,2.96056338028169,710,100,0.0140845070422535,"blocked"
"8867",2.98028169014085,2.96619718309859,710,100,0.0140845070422535,"blocked"
"8868",3.02253521126761,3.02535211267606,710,100,0.0028169014084507,"blocked"
"8869",3.05352112676056,3.05070422535211,710,100,0.0028169014084507,"blocked"
"8870",3.0056338028169,3.0112676056338,710,100,0.0056338028169014,"blocked"
"8871",3.0056338028169,3.01408450704225,710,100,0.0084507042253521,"blocked"
"8872",2.93802816901408,2.94084507042254,710,100,0.0028169014084507,"blocked"
"8873",2.90704225352113,2.89859154929577,710,100,0.0084507042253521,"blocked"
"8874",3.0056338028169,3.0169014084507,710,100,0.0112676056338028,"blocked"
"8875",2.99154929577465,2.99718309859155,710,100,0.0056338028169014,"blocked"
"8876",3.02535211267606,3.03098591549296,710,100,0.0056338028169014,"blocked"
"8877",2.95492957746479,2.94084507042254,710,100,0.0140845070422535,"blocked"
"8878",3.07605633802817,3.08169014084507,710,100,0.0056338028169014,"blocked"
"8879",3.07042253521127,3.08450704225352,710,100,0.0140845070422535,"blocked"
"8880",3,3,710,100,0,"blocked"
"8881",2.9943661971831,3,710,100,0.0056338028169014,"blocked"
"8882",2.99718309859155,3.00281690140845,710,100,0.0056338028169014,"blocked"
"8883",2.93521126760563,2.93521126760563,710,100,0,"blocked"
"8884",3.05070422535211,3.05633802816901,710,100,0.0056338028169014,"blocked"
"8885",3.08732394366197,3.09014084507042,710,100,0.0028169014084507,"blocked"
"8886",2.92112676056338,2.92676056338028,710,100,0.0056338028169014,"blocked"
"8887",2.95492957746479,2.95492957746479,710,100,0,"blocked"
"8888",3.02253521126761,3.01408450704225,710,100,0.0084507042253521,"blocked"
"8889",2.99154929577465,2.99154929577465,710,100,0,"blocked"
"8890",2.92394366197183,2.92112676056338,710,100,0.0028169014084507,"blocked"
"8891",3.02253521126761,3.03098591549296,710,100,0.0084507042253521,"blocked"
"8892",3.0169014084507,3.00845070422535,710,100,0.0084507042253521,"blocked"
"8893",2.99154929577465,2.9887323943662,710,100,0.0028169014084507,"blocked"
"8894",3.02253521126761,3.01408450704225,710,100,0.0084507042253521,"blocked"
"8895",3.0169014084507,3.02535211267606,710,100,0.0084507042253521,"blocked"
"8896",2.9887323943662,2.97746478873239,710,100,0.0112676056338028,"blocked"
"8897",2.91267605633803,2.91549295774648,710,100,0.0028169014084507,"blocked"
"8898",3.07042253521127,3.07605633802817,710,100,0.0056338028169014,"blocked"
"8899",2.94647887323944,2.94084507042254,710,100,0.0056338028169014,"blocked"
"8900",2.92676056338028,2.93239436619718,710,100,0.0056338028169014,"blocked"
"8901",2.99442896935933,2.98328690807799,718,100,0.0111420612813373,"blocked"
"8902",2.94707520891365,2.95821727019499,718,100,0.0111420612813373,"blocked"
"8903",3.03342618384401,3.03064066852368,718,100,0.00278551532033422,"blocked"
"8904",3.008356545961,3.008356545961,718,100,0,"blocked"
"8905",3.02785515320334,3.03064066852368,718,100,0.00278551532033422,"blocked"
"8906",3.00557103064067,3.00278551532033,718,100,0.00278551532033422,"blocked"
"8907",2.95264623955432,2.94986072423398,718,100,0.00278551532033422,"blocked"
"8908",3.008356545961,3.00557103064067,718,100,0.00278551532033422,"blocked"
"8909",3.01949860724234,3.02228412256267,718,100,0.00278551532033422,"blocked"
"8910",2.98885793871866,2.98607242339833,718,100,0.00278551532033422,"blocked"
"8911",3,3.00278551532033,718,100,0.00278551532033422,"blocked"
"8912",2.93314763231198,2.92479108635097,718,100,0.0083565459610031,"blocked"
"8913",2.95264623955432,2.96100278551532,718,100,0.0083565459610031,"blocked"
"8914",3.01949860724234,3.01392757660167,718,100,0.00557103064066888,"blocked"
"8915",3.008356545961,3.01392757660167,718,100,0.00557103064066844,"blocked"
"8916",3.03064066852368,3.02506963788301,718,100,0.00557103064066844,"blocked"
"8917",3.05292479108635,3.05013927576602,718,100,0.00278551532033422,"blocked"
"8918",2.98885793871866,2.98607242339833,718,100,0.00278551532033422,"blocked"
"8919",2.94150417827298,2.93871866295265,718,100,0.00278551532033422,"blocked"
"8920",2.99721448467967,2.991643454039,718,100,0.00557103064066844,"blocked"
"8921",2.97214484679666,2.97493036211699,718,100,0.00278551532033422,"blocked"
"8922",2.96378830083565,2.96657381615599,718,100,0.00278551532033422,"blocked"
"8923",2.99442896935933,2.991643454039,718,100,0.00278551532033422,"blocked"
"8924",3.06406685236769,3.06963788300836,718,100,0.00557103064066844,"blocked"
"8925",3.02506963788301,3.02228412256267,718,100,0.00278551532033422,"blocked"
"8926",2.91364902506964,2.91643454038997,718,100,0.00278551532033422,"blocked"
"8927",2.97214484679666,2.97214484679666,718,100,0,"blocked"
"8928",2.85515320334262,2.84958217270195,718,100,0.00557103064066844,"blocked"
"8929",3.02785515320334,3.02785515320334,718,100,0,"blocked"
"8930",3.03899721448468,3.03899721448468,718,100,0,"blocked"
"8931",3.06406685236769,3.07242339832869,718,100,0.00835654596100266,"blocked"
