"","control","treatment1","treatment2","treatment3","treatment4","treatment5","treatment6","treatment7","treatment8","treatment9","variance","levels","groups","sampled_numbers","repeats","diff","label"
"2972",2.92307692307692,3.3448275862069,3,3.11764705882353,2.55555555555556,2.84375,3.42857142857143,3.57142857142857,3.03846153846154,3.38888888888889,2.07749804075235,5,10,320,100,1.01587301587302,"rand"
"2973",3.35897435897436,3.06896551724138,2.95121951219512,3.32352941176471,2.74074074074074,3.46875,2.89285714285714,2.92857142857143,2.92307692307692,2.77777777777778,2.10967868338558,5,10,320,100,0.728009259259259,"rand"
"2974",2.66666666666667,3.41379310344828,3.21951219512195,2.97058823529412,3,3.0625,2.82142857142857,2.78571428571429,2.76923076923077,2.77777777777778,2.16677115987461,5,10,320,100,0.747126436781609,"rand"
"2975",2.84615384615385,3.41379310344828,3,3,3.25925925925926,2.6875,3.32142857142857,2.78571428571429,3,3.16666666666667,1.92335423197492,5,10,320,100,0.726293103448276,"rand"
"2976",2.82051282051282,2.89655172413793,3,2.91176470588235,3.22222222222222,3.34375,2.75,2.92857142857143,2.80769230769231,2.94444444444444,1.91708463949843,5,10,320,100,0.59375,"rand"
"2977",2.97435897435897,3.31034482758621,3.09756097560976,3.05882352941176,2.74074074074074,3.5,2.75,3.42857142857143,2.76923076923077,2.61111111111111,1.98683385579937,5,10,320,100,0.888888888888889,"rand"
"2978",3,2.44827586206897,3.1219512195122,2.91176470588235,3.40740740740741,2.625,2.53571428571429,2.89285714285714,2.88461538461538,3,2.13287617554859,5,10,320,100,0.959131545338442,"rand"
"2979",3.17948717948718,2.93103448275862,2.75609756097561,3.41176470588235,2.85185185185185,2.78125,2.75,2.85714285714286,2.88461538461538,2.94444444444444,2.02190438871473,5,10,320,100,0.661764705882353,"rand"
"2980",3.33333333333333,3.10344827586207,2.65853658536585,2.85294117647059,3.33333333333333,2.875,3.32142857142857,2.85714285714286,3.03846153846154,3.11111111111111,2.03620689655172,5,10,320,100,0.67479674796748,"rand"
"2981",3.07692307692308,3,3.07317073170732,3.17647058823529,2.88888888888889,2.84375,3.32142857142857,2.78571428571429,3.03846153846154,2.47222222222222,1.98941026645768,5,10,320,100,0.849206349206349,"rand"
"2982",2.84615384615385,3.27586206896552,2.75609756097561,3.08823529411765,3.37037037037037,3.125,3.03571428571429,3.10714285714286,2.88461538461538,2.88888888888889,2.0560736677116,5,10,320,100,0.614272809394761,"rand"
"2983",3.1025641025641,3.03448275862069,3.31707317073171,3.05882352941176,3.18518518518519,3.3125,3.5,2.60714285714286,3.11538461538462,3.19444444444444,2.04639498432602,5,10,320,100,0.892857142857143,"rand"
"2984",2.97435897435897,2.89655172413793,3.24390243902439,3.11764705882353,2.7037037037037,2.5625,3.25,2.96428571428571,2.96153846153846,3.08333333333333,1.96849529780564,5,10,320,100,0.6875,"rand"
"2985",3.30769230769231,2.82758620689655,3.09756097560976,2.67647058823529,2.88888888888889,3.25,3.03571428571429,3.39285714285714,2.76923076923077,2.83333333333333,2.0216986677116,5,10,320,100,0.716386554621849,"rand"
"2986",2.8974358974359,3.24137931034483,3.02439024390244,2.52941176470588,2.7037037037037,2.78125,2.53571428571429,2.82142857142857,3.19230769230769,3,1.94670846394984,5,10,320,100,0.711967545638945,"rand"
"2987",3.15384615384615,2.82758620689655,3.29268292682927,2.64705882352941,3.2962962962963,3.1875,2.85714285714286,3.25,3.03846153846154,3.25,2.05501567398119,5,10,320,100,0.649237472766885,"rand"
"2988",3.23076923076923,2.79310344827586,3.26829268292683,2.76470588235294,3.2962962962963,2.625,2.46428571428571,3.10714285714286,3.07692307692308,2.91666666666667,2.04583659874608,5,10,320,100,0.832010582010582,"rand"
"2989",2.92307692307692,3.37931034482759,2.68292682926829,2.64705882352941,3.11111111111111,3.375,3,2.82142857142857,2.53846153846154,3,2.13752938871473,5,10,320,100,0.840848806366048,"rand"
"2990",3,2.68965517241379,3.17073170731707,2.44117647058824,3,2.75,2.67857142857143,2.75,2.96153846153846,2.94444444444444,1.84576802507837,5,10,320,100,0.729555236728838,"rand"
"2991",2.94871794871795,2.62068965517241,3.1219512195122,3.17647058823529,2.92592592592593,3.03125,3.28571428571429,2.82142857142857,3.11538461538462,2.97222222222222,1.94353448275862,5,10,320,100,0.665024630541872,"rand"
"2992",2.61538461538462,2.68965517241379,3.29268292682927,2.91176470588235,2.96296296296296,2.84375,3.21428571428571,2.85714285714286,3,2.77777777777778,2.01480211598746,5,10,320,100,0.677298311444653,"rand"
"2993",2.84615384615385,3.24137931034483,3.1219512195122,3.05882352941176,2.92592592592593,3.03125,2.75,2.71428571428571,3.11538461538462,3.08333333333333,2.03130877742947,5,10,320,100,0.527093596059113,"rand"
