"","control","treatment1","treatment2","variance","levels","groups","sampled_numbers","repeats","diff","label"
"60",NA,2,3.83333333333333,1.94444444444444,5,3,9,100,NA,"rand"
"61",NA,2.66666666666667,4.16666666666667,3.25,5,3,9,100,NA,"rand"
"62",NA,2.66666666666667,3.16666666666667,1,5,3,9,100,NA,"rand"
"63",NA,2.66666666666667,3,2.11111111111111,5,3,9,100,NA,"rand"
"64",NA,3,4.5,1,5,3,9,100,NA,"rand"
"65",NA,3,3.83333333333333,2.27777777777778,5,3,9,100,NA,"rand"
"66",NA,3.33333333333333,2.5,2.69444444444444,5,3,9,100,NA,"rand"
"67",NA,2.66666666666667,2.83333333333333,2.44444444444444,5,3,9,100,NA,"rand"
"68",NA,1.33333333333333,3.16666666666667,2.77777777777778,5,3,9,100,NA,"rand"
"69",NA,4.33333333333333,3.33333333333333,2.75,5,3,9,100,NA,"rand"
"70",NA,2.33333333333333,3,2.19444444444444,5,3,9,100,NA,"rand"
"71",NA,3.66666666666667,3.66666666666667,2,5,3,9,100,NA,"rand"
"72",NA,3,3,2,5,3,9,100,NA,"rand"
"73",NA,4,3.83333333333333,1.11111111111111,5,3,9,100,NA,"rand"
"74",NA,3,2.5,2.75,5,3,9,100,NA,"rand"
"75",NA,1.66666666666667,2.66666666666667,2.25,5,3,9,100,NA,"rand"
"76",NA,4,3.66666666666667,1.19444444444444,5,3,9,100,NA,"rand"
"77",NA,2,3.16666666666667,1.69444444444444,5,3,9,100,NA,"rand"
"78",NA,2,2.33333333333333,1.69444444444444,5,3,9,100,NA,"rand"
"79",NA,3.66666666666667,2.33333333333333,1.94444444444444,5,3,9,100,NA,"rand"
"80",NA,2.66666666666667,2.66666666666667,2.25,5,3,9,100,NA,"rand"
"81",NA,4.33333333333333,4,0.361111111111111,5,3,9,100,NA,"rand"
"82",NA,2.66666666666667,3.83333333333333,3.02777777777778,5,3,9,100,NA,"rand"
"83",NA,1.66666666666667,2.83333333333333,2.02777777777778,5,3,9,100,NA,"rand"
"84",NA,2.33333333333333,2.5,2.02777777777778,5,3,9,100,NA,"rand"
"85",NA,3,2.66666666666667,1.19444444444444,5,3,9,100,NA,"rand"
"86",NA,3.33333333333333,3.66666666666667,2.52777777777778,5,3,9,100,NA,"rand"
"87",NA,3.33333333333333,2.5,2.44444444444444,5,3,9,100,NA,"rand"
"88",NA,3,3.5,2.25,5,3,9,100,NA,"rand"
"89",NA,2.66666666666667,2.5,1.27777777777778,5,3,9,100,NA,"rand"
"90",NA,2,3.16666666666667,1.94444444444444,5,3,9,100,NA,"rand"
"91",NA,3.33333333333333,2.16666666666667,2.27777777777778,5,3,9,100,NA,"rand"
"92",NA,4,2.5,2,5,3,9,100,NA,"rand"
"93",NA,4,2.83333333333333,1.19444444444444,5,3,9,100,NA,"rand"
"94",NA,3.66666666666667,2.5,2.11111111111111,5,3,9,100,NA,"rand"
"95",NA,2,3.5,2.5,5,3,9,100,NA,"rand"
"96",NA,3,2.83333333333333,2.61111111111111,5,3,9,100,NA,"rand"
"97",NA,2,2.33333333333333,1.69444444444444,5,3,9,100,NA,"rand"
"98",NA,3.66666666666667,3.5,2.52777777777778,5,3,9,100,NA,"rand"
"99",NA,2.66666666666667,3,1.61111111111111,5,3,9,100,NA,"rand"
"100",NA,3.33333333333333,3,2.11111111111111,5,3,9,100,NA,"rand"
"101",2.75,3.125,3.66666666666667,2.06535947712418,5,3,18,100,0.916666666666667,"rand"
"102",3.5,3,4.33333333333333,1.79084967320261,5,3,18,100,1.33333333333333,"rand"
"103",2.75,2,2.5,1.41176470588235,5,3,18,100,0.75,"rand"
"104",2.75,3.25,3.66666666666667,1.85947712418301,5,3,18,100,0.916666666666667,"rand"
"105",3.5,3.375,1.83333333333333,2.10457516339869,5,3,18,100,1.66666666666667,"rand"
"106",1.75,3.125,3.83333333333333,1.8202614379085,5,3,18,100,2.08333333333333,"rand"
"107",4,2.625,2.66666666666667,2.05555555555556,5,3,18,100,1.375,"rand"
"108",3,2.875,3.33333333333333,2.29084967320261,5,3,18,100,0.458333333333333,"rand"
"109",3,2.375,2.5,1.3202614379085,5,3,18,100,0.625,"rand"
"110",3.25,3,3.33333333333333,1.32352941176471,5,3,18,100,0.333333333333333,"rand"
"111",3.5,3.5,3.33333333333333,1.43790849673203,5,3,18,100,0.166666666666667,"rand"
"112",1.75,2.875,3,1.76470588235294,5,3,18,100,1.25,"rand"
"113",3.75,2.75,3.66666666666667,1.74183006535948,5,3,18,100,1,"rand"
"114",2.5,3.25,3,2.23529411764706,5,3,18,100,0.75,"rand"
"115",3.25,3,3.33333333333333,1.67647058823529,5,3,18,100,0.333333333333333,"rand"
"116",3.5,2.25,2,2.26143790849673,5,3,18,100,1.5,"rand"
"117",2.25,3.25,3.16666666666667,2.58823529411765,5,3,18,100,1,"rand"
"118",3,2.75,2.83333333333333,2.26470588235294,5,3,18,100,0.25,"rand"
"119",3.25,3.125,3,2.33986928104575,5,3,18,100,0.25,"rand"
"120",2.75,3.625,2.66666666666667,1.86928104575163,5,3,18,100,0.958333333333333,"rand"
